sai,sbi,sci,sa,sb,sc,dist
23,17,2,Run1_C_24,Run1_C_26,Run1_C_32,1.3046
0,3,14,Run1_C_23,Run1_C_12,Run1_C_45,0.2134
20,2,15,Run1_C_25,Run1_C_32,Run1_C_21,1.3054
5,15,17,Run1_C_18,Run1_C_21,Run1_C_26,2.3802
15,13,3,Run1_C_21,Run1_C_16,Run1_C_12,1.4411
12,18,14,Run1_C_35,Run1_C_34,Run1_C_45,1.851
0,2,7,Run1_C_23,Run1_C_32,Run1_C_43,0.7939
15,7,20,Run1_C_21,Run1_C_43,Run1_C_25,0.5844
5,18,0,Run1_C_18,Run1_C_34,Run1_C_23,0.3354
5,11,19,Run1_C_18,Run1_C_29,Run1_C_22,0.4729
11,12,0,Run1_C_29,Run1_C_35,Run1_C_23,0.6632
15,4,21,Run1_C_21,Run1_C_36,Run1_C_31,0.7926
0,17,13,Run1_C_23,Run1_C_26,Run1_C_16,0.5493
13,22,16,Run1_C_16,Run1_C_42,Run1_C_41,2.4944
17,2,22,Run1_C_26,Run1_C_32,Run1_C_42,1.2043
10,20,22,Run1_C_33,Run1_C_25,Run1_C_42,1.8132
5,4,23,Run1_C_18,Run1_C_36,Run1_C_24,2.388
9,15,13,Run1_C_44,Run1_C_21,Run1_C_16,0.7682
0,16,15,Run1_C_23,Run1_C_41,Run1_C_21,0.0673
7,22,1,Run1_C_43,Run1_C_42,Run1_C_38,1.2641
11,18,19,Run1_C_29,Run1_C_34,Run1_C_22,0.5771
9,4,18,Run1_C_44,Run1_C_36,Run1_C_34,2.7647
14,5,23,Run1_C_45,Run1_C_18,Run1_C_24,1.9224
12,22,16,Run1_C_35,Run1_C_42,Run1_C_41,0.2474
10,20,13,Run1_C_33,Run1_C_25,Run1_C_16,1.5024
16,3,22,Run1_C_41,Run1_C_12,Run1_C_42,0.7249
0,23,11,Run1_C_23,Run1_C_24,Run1_C_29,0.4174
5,12,21,Run1_C_18,Run1_C_35,Run1_C_31,0.5853
17,18,4,Run1_C_26,Run1_C_34,Run1_C_36,0.3688
5,4,19,Run1_C_18,Run1_C_36,Run1_C_22,1.4168
10,12,11,Run1_C_33,Run1_C_35,Run1_C_29,0.3625
17,3,21,Run1_C_26,Run1_C_12,Run1_C_31,1.0734
14,22,18,Run1_C_45,Run1_C_42,Run1_C_34,0.1759
18,22,3,Run1_C_34,Run1_C_42,Run1_C_12,0.2136
16,19,18,Run1_C_41,Run1_C_22,Run1_C_34,0.4527
10,20,11,Run1_C_33,Run1_C_25,Run1_C_29,1.544
1,17,9,Run1_C_38,Run1_C_26,Run1_C_44,0.143
1,21,13,Run1_C_38,Run1_C_31,Run1_C_16,0.3254
1,11,0,Run1_C_38,Run1_C_29,Run1_C_23,2.5425
14,5,0,Run1_C_45,Run1_C_18,Run1_C_23,2.3927
21,22,3,Run1_C_31,Run1_C_42,Run1_C_12,4.2857
14,22,8,Run1_C_45,Run1_C_42,Run1_C_40,0.8313
